Positionsnummer;Kurztext;Langtext;Einheit;Preis;Kategorie
05.08.1696;Kabeltrasse H07RN-F 5G16 herstellen;Kabeltrasse N2XY 4x25 mit Warnband, Sandbettung ≥15 cm, Warnband. Markerband. Abschnitt 7, Segment 226. Dokumentation gem. DIN 18300, DIN 4124, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;6.28;Kabelbau
01.09.1704;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse N2XY 4x25 mit Kabelschutzrohr DN110, Sandbettung ≥25 cm, Warnband. Markerband. Abschnitt 16, Segment 249. Dokumentation gem. DIN EN 206, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;31.02;Kabelbau
09.11.1712;Kabeltrasse H07RN-F 5G16 herstellen;Kabeltrasse H07RN-F 5G16 mit Warnband, Sandbettung ≥10 cm, Warnband. Schachtbeschriftung. Abschnitt 14, Segment 57. Dokumentation gem. DAfStb-Richtlinie, DIN 1045‑2, DIN EN 1610, TL SoB‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;80.88;Kabelbau
05.11.1720;Kabeltrasse NYY-J 3x50 herstellen;Kabeltrasse H07RN-F 5G16 mit Betonplatte, Sandbettung ≥10 cm, Warnband. Streckenkilometer. Abschnitt 47, Segment 75. Dokumentation gem. DAfStb-Richtlinie, DIN 1045‑2, DIN EN 1610. Abrechnung nach m. Nachweis: Messprotokoll.;m;23.34;Kabelbau
01.06.1728;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse NYY-J 3x50 mit Sandbettung, Sandbettung ≥25 cm, Warnband. Streckenkilometer. Abschnitt 42, Segment 100. Dokumentation gem. DAfStb-Richtlinie, DIN 18300, DIN EN 1610, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;28.77;Kabelbau
09.05.1736;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse H07RN-F 5G16 mit Sandbettung, Sandbettung ≥20 cm, Warnband. Streckenkilometer. Abschnitt 20, Segment 496. Dokumentation gem. DAfStb-Richtlinie, DIN 18300, DIN 1998, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;58.38;Kabelbau
05.05.1744;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse NYY-J 3x50 mit Betonplatte, Sandbettung ≥15 cm, Warnband. Streckenkilometer. Abschnitt 4, Segment 200. Dokumentation gem. DAfStb-Richtlinie, DIN 18300, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;82.93;Kabelbau
01.09.1752;Kabeltrasse H07RN-F 5G16 herstellen;Kabeltrasse H07RN-F 5G16 mit Sandbettung, Sandbettung ≥10 cm, Warnband. Markerband. Abschnitt 29, Segment 421. Dokumentation gem. DIN 18300, DIN EN 1610, TL SoB‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;76.4;Kabelbau
09.10.1760;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse NYY-J 5x10 mit Kabelschutzrohr DN110, Sandbettung ≥15 cm, Warnband. Streckenkilometer. Abschnitt 47, Segment 299. Dokumentation gem. DAfStb-Richtlinie, DIN 18300, DIN 1998, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;68.27;Kabelbau
05.03.1768;Kabeltrasse H07RN-F 5G16 herstellen;Kabeltrasse H07RN-F 5G16 mit Doppelrohr DN125, Sandbettung ≥10 cm, Warnband. Markerband. Abschnitt 25, Segment 185. Dokumentation gem. DIN 1045‑2, DIN 1998, DIN EN 1610, TL SoB‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;11.0;Kabelbau
01.05.1776;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse NA2XS(F)2Y 1x240 mit Sandbettung, Sandbettung ≥10 cm, Warnband. Streckenkilometer. Abschnitt 20, Segment 140. Dokumentation gem. DAfStb-Richtlinie, DIN 4124, DIN EN 206, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;18.84;Kabelbau
09.12.1784;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse NYY-J 4x16 mit Warnband, Sandbettung ≥25 cm, Warnband. Streckenkilometer. Abschnitt 45, Segment 313. Dokumentation gem. DIN 1998, DIN EN 1610. Abrechnung nach m. Nachweis: As‑Built.;m;33.13;Kabelbau
05.01.1792;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse H07RN-F 5G16 mit Kabelschutzrohr DN110, Sandbettung ≥10 cm, Warnband. Streckenkilometer. Abschnitt 18, Segment 282. Dokumentation gem. DIN 18300, DIN 1998, TL SoB‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;46.74;Kabelbau
01.08.1800;Kabeltrasse NYY-J 5x10 herstellen;Kabeltrasse NYY-J 3x50 mit Betonplatte, Sandbettung ≥10 cm, Warnband. Schachtbeschriftung. Abschnitt 31, Segment 420. Dokumentation gem. DIN EN 1610, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;73.81;Kabelbau
09.08.1808;Kabeltrasse NYY-J 3x50 herstellen;Kabeltrasse NYY-J 4x16 mit Sandbettung, Sandbettung ≥25 cm, Warnband. Streckenkilometer. Abschnitt 4, Segment 211. Dokumentation gem. DIN 1045‑2, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;66.76;Kabelbau
05.01.1816;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse N2XY 4x25 mit Betonplatte, Sandbettung ≥25 cm, Warnband. Streckenkilometer. Abschnitt 48, Segment 413. Dokumentation gem. DIN 18300, TL SoB‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;64.43;Kabelbau
01.04.1824;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse NYY-J 4x16 mit Betonplatte, Sandbettung ≥25 cm, Warnband. Streckenkilometer. Abschnitt 31, Segment 419. Dokumentation gem. DIN 1045‑2, TL SoB‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;83.57;Kabelbau
09.11.1832;Kabeltrasse NYY-J 5x10 herstellen;Kabeltrasse NYY-J 4x16 mit Doppelrohr DN125, Sandbettung ≥25 cm, Warnband. Markerband. Abschnitt 1, Segment 259. Dokumentation gem. DIN 1998, DIN EN 206, TL SoB‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;51.47;Kabelbau
05.03.1840;Kabeltrasse NYY-J 3x50 herstellen;Kabeltrasse NYY-J 4x16 mit Kabelschutzrohr DN110, Sandbettung ≥20 cm, Warnband. Schachtbeschriftung. Abschnitt 20, Segment 148. Dokumentation gem. DIN EN 1610, DIN EN 206, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;45.9;Kabelbau
01.02.1848;Kabeltrasse NYY-J 5x10 herstellen;Kabeltrasse H07RN-F 5G16 mit Betonplatte, Sandbettung ≥10 cm, Warnband. Markerband. Abschnitt 36, Segment 350. Dokumentation gem. DIN 1045‑2, DIN EN 1610, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;7.6;Kabelbau
09.11.1856;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse NYY-J 4x16 mit Kabelschutzrohr DN110, Sandbettung ≥15 cm, Warnband. Streckenkilometer. Abschnitt 39, Segment 123. Dokumentation gem. DIN 18300, DIN EN 1610, DIN EN 206, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;38.85;Kabelbau
05.01.1864;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse NYY-J 4x16 mit Kabelschutzrohr DN110, Sandbettung ≥20 cm, Warnband. Streckenkilometer. Abschnitt 28, Segment 264. Dokumentation gem. DAfStb-Richtlinie, DIN 1998, TL SoB‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;63.57;Kabelbau
01.02.1872;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse N2XY 4x25 mit Kabelschutzrohr DN110, Sandbettung ≥20 cm, Warnband. Schachtbeschriftung. Abschnitt 28, Segment 287. Dokumentation gem. DAfStb-Richtlinie, DIN 18300, DIN 4124, DIN EN 1610. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;43.07;Kabelbau
09.03.1880;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse NYY-J 3x50 mit Sandbettung, Sandbettung ≥25 cm, Warnband. Markerband. Abschnitt 3, Segment 206. Dokumentation gem. ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;22.34;Kabelbau
05.10.1888;Kabeltrasse H07RN-F 5G16 herstellen;Kabeltrasse N2XY 4x25 mit Betonplatte, Sandbettung ≥20 cm, Warnband. Streckenkilometer. Abschnitt 47, Segment 238. Dokumentation gem. DAfStb-Richtlinie, DIN 18300, DIN EN 1610, DIN EN 206. Abrechnung nach m. Nachweis: Messprotokoll.;m;82.49;Kabelbau
01.11.1896;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse H07RN-F 5G16 mit Sandbettung, Sandbettung ≥10 cm, Warnband. Schachtbeschriftung. Abschnitt 3, Segment 442. Dokumentation gem. DIN 18300, DIN EN 1610. Abrechnung nach m. Nachweis: Messprotokoll.;m;40.71;Kabelbau
09.10.1904;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse H07RN-F 5G16 mit Betonplatte, Sandbettung ≥25 cm, Warnband. Schachtbeschriftung. Abschnitt 40, Segment 171. Dokumentation gem. DAfStb-Richtlinie, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;68.14;Kabelbau
05.01.1912;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse NYY-J 3x50 mit Warnband, Sandbettung ≥25 cm, Warnband. Schachtbeschriftung. Abschnitt 16, Segment 99. Dokumentation gem. DIN 4124, ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;26.55;Kabelbau
01.05.1920;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse NA2XS(F)2Y 1x240 mit Betonplatte, Sandbettung ≥10 cm, Warnband. Schachtbeschriftung. Abschnitt 37, Segment 225. Dokumentation gem. DIN EN 206, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;46.85;Kabelbau
09.10.1928;Kabeltrasse NYY-J 5x10 herstellen;Kabeltrasse NA2XS(F)2Y 1x240 mit Kabelschutzrohr DN110, Sandbettung ≥10 cm, Warnband. Markerband. Abschnitt 43, Segment 151. Dokumentation gem. TL SoB‑StB, ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;77.88;Kabelbau
05.10.1936;Kabeltrasse NYY-J 3x50 herstellen;Kabeltrasse N2XY 4x25 mit Betonplatte, Sandbettung ≥15 cm, Warnband. Markerband. Abschnitt 2, Segment 283. Dokumentation gem. DAfStb-Richtlinie, DIN 4124, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;62.12;Kabelbau
01.09.1944;Kabeltrasse NYY-J 3x50 herstellen;Kabeltrasse NYY-J 4x16 mit Sandbettung, Sandbettung ≥20 cm, Warnband. Markerband. Abschnitt 2, Segment 487. Dokumentation gem. DIN 1045‑2, DIN 18300, DIN 4124, DIN EN 1610. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;36.98;Kabelbau
09.06.1952;Kabeltrasse H07RN-F 5G16 herstellen;Kabeltrasse NA2XS(F)2Y 1x240 mit Kabelschutzrohr DN110, Sandbettung ≥10 cm, Warnband. Streckenkilometer. Abschnitt 42, Segment 379. Dokumentation gem. DIN 1045‑2, DIN 1998, DIN EN 206, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;12.5;Kabelbau
05.07.1960;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse H07RN-F 5G16 mit Sandbettung, Sandbettung ≥10 cm, Warnband. Markerband. Abschnitt 6, Segment 332. Dokumentation gem. DIN 1045‑2, DIN 18300, DIN EN 1610, TL SoB‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;40.64;Kabelbau
01.06.1968;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse NA2XS(F)2Y 1x240 mit Warnband, Sandbettung ≥20 cm, Warnband. Streckenkilometer. Abschnitt 1, Segment 221. Dokumentation gem. DAfStb-Richtlinie, DIN 18300, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;36.42;Kabelbau
09.02.1976;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse NYY-J 3x50 mit Betonplatte, Sandbettung ≥10 cm, Warnband. Markerband. Abschnitt 16, Segment 120. Dokumentation gem. DAfStb-Richtlinie, DIN EN 1610, DIN EN 206, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;81.81;Kabelbau
05.03.1984;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse NYY-J 4x16 mit Doppelrohr DN125, Sandbettung ≥10 cm, Warnband. Markerband. Abschnitt 30, Segment 414. Dokumentation gem. DIN 18300, DIN 4124. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;79.48;Kabelbau
01.03.1992;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse NYY-J 4x16 mit Doppelrohr DN125, Sandbettung ≥10 cm, Warnband. Markerband. Abschnitt 29, Segment 222. Dokumentation gem. DAfStb-Richtlinie, DIN 4124, DIN EN 206. Abrechnung nach m. Nachweis: Materialzertifikate.;m;82.43;Kabelbau
09.01.2000;Kabeltrasse H07RN-F 5G16 herstellen;Kabeltrasse NYY-J 5x10 mit Sandbettung, Sandbettung ≥15 cm, Warnband. Streckenkilometer. Abschnitt 39, Segment 190. Dokumentation gem. DIN EN 1610, ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;56.23;Kabelbau
05.09.2008;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse NYY-J 3x50 mit Doppelrohr DN125, Sandbettung ≥20 cm, Warnband. Streckenkilometer. Abschnitt 27, Segment 87. Dokumentation gem. DAfStb-Richtlinie, DIN 18300, DIN 1998, DIN EN 206. Abrechnung nach m. Nachweis: As‑Built.;m;26.99;Kabelbau
01.06.2016;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse NYY-J 4x16 mit Sandbettung, Sandbettung ≥20 cm, Warnband. Markerband. Abschnitt 2, Segment 19. Dokumentation gem. DAfStb-Richtlinie, TL SoB‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;33.14;Kabelbau
09.01.2024;Kabeltrasse NYY-J 3x50 herstellen;Kabeltrasse NA2XS(F)2Y 1x240 mit Kabelschutzrohr DN110, Sandbettung ≥10 cm, Warnband. Markerband. Abschnitt 37, Segment 262. Dokumentation gem. DAfStb-Richtlinie, DIN EN 1610, DIN EN 206, TL SoB‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;75.72;Kabelbau
05.07.2032;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse NYY-J 5x10 mit Warnband, Sandbettung ≥15 cm, Warnband. Schachtbeschriftung. Abschnitt 32, Segment 443. Dokumentation gem. DIN 1045‑2, DIN 1998, DIN EN 206, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;43.15;Kabelbau
01.11.2040;Kabeltrasse NYY-J 3x50 herstellen;Kabeltrasse NYY-J 5x10 mit Sandbettung, Sandbettung ≥25 cm, Warnband. Schachtbeschriftung. Abschnitt 4, Segment 289. Dokumentation gem. DAfStb-Richtlinie, DIN 4124, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;44.21;Kabelbau
09.04.2048;Kabeltrasse H07RN-F 5G16 herstellen;Kabeltrasse N2XY 4x25 mit Warnband, Sandbettung ≥10 cm, Warnband. Markerband. Abschnitt 16, Segment 133. Dokumentation gem. DIN 1045‑2, DIN EN 206, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;56.18;Kabelbau
05.02.2056;Kabeltrasse NYY-J 3x50 herstellen;Kabeltrasse NYY-J 3x50 mit Warnband, Sandbettung ≥20 cm, Warnband. Schachtbeschriftung. Abschnitt 22, Segment 336. Dokumentation gem. DIN 1998, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;33.78;Kabelbau
01.01.2064;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse NA2XS(F)2Y 1x240 mit Betonplatte, Sandbettung ≥10 cm, Warnband. Markerband. Abschnitt 35, Segment 165. Dokumentation gem. DAfStb-Richtlinie, DIN EN 206. Abrechnung nach m. Nachweis: As‑Built.;m;85.92;Kabelbau
09.07.2072;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse NA2XS(F)2Y 1x240 mit Betonplatte, Sandbettung ≥25 cm, Warnband. Schachtbeschriftung. Abschnitt 41, Segment 151. Dokumentation gem. DIN 18300, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;63.87;Kabelbau
05.05.2080;Kabeltrasse NYY-J 3x50 herstellen;Kabeltrasse N2XY 4x25 mit Doppelrohr DN125, Sandbettung ≥25 cm, Warnband. Schachtbeschriftung. Abschnitt 2, Segment 109. Dokumentation gem. DIN EN 1610, DIN EN 206, ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;82.64;Kabelbau
01.07.2088;Kabeltrasse NYY-J 5x10 herstellen;Kabeltrasse NYY-J 5x10 mit Doppelrohr DN125, Sandbettung ≥25 cm, Warnband. Schachtbeschriftung. Abschnitt 26, Segment 106. Dokumentation gem. DIN 18300, DIN EN 1610, TL SoB‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;86.5;Kabelbau
09.06.2096;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse NYY-J 4x16 mit Betonplatte, Sandbettung ≥10 cm, Warnband. Schachtbeschriftung. Abschnitt 17, Segment 338. Dokumentation gem. DIN EN 1610, TL SoB‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;35.71;Kabelbau
05.12.2104;Kabeltrasse H07RN-F 5G16 herstellen;Kabeltrasse N2XY 4x25 mit Betonplatte, Sandbettung ≥25 cm, Warnband. Markerband. Abschnitt 34, Segment 337. Dokumentation gem. DIN 1045‑2, DIN 18300, DIN 4124, DIN EN 206. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;50.22;Kabelbau
01.09.2112;Kabeltrasse NYY-J 5x10 herstellen;Kabeltrasse N2XY 4x25 mit Sandbettung, Sandbettung ≥20 cm, Warnband. Schachtbeschriftung. Abschnitt 40, Segment 113. Dokumentation gem. DAfStb-Richtlinie, DIN 1045‑2, DIN 4124, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;45.83;Kabelbau
09.05.2120;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse NYY-J 4x16 mit Doppelrohr DN125, Sandbettung ≥25 cm, Warnband. Markerband. Abschnitt 17, Segment 241. Dokumentation gem. DAfStb-Richtlinie, DIN 4124, DIN EN 1610, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;37.56;Kabelbau
05.12.2128;Kabeltrasse NYY-J 5x10 herstellen;Kabeltrasse NYY-J 3x50 mit Sandbettung, Sandbettung ≥15 cm, Warnband. Streckenkilometer. Abschnitt 29, Segment 25. Dokumentation gem. DAfStb-Richtlinie, DIN 1045‑2, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;59.8;Kabelbau
01.08.2136;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse NYY-J 5x10 mit Kabelschutzrohr DN110, Sandbettung ≥25 cm, Warnband. Schachtbeschriftung. Abschnitt 9, Segment 163. Dokumentation gem. DAfStb-Richtlinie, DIN 1998. Abrechnung nach m. Nachweis: Materialzertifikate.;m;11.95;Kabelbau
09.06.2144;Kabeltrasse NYY-J 3x50 herstellen;Kabeltrasse N2XY 4x25 mit Sandbettung, Sandbettung ≥20 cm, Warnband. Streckenkilometer. Abschnitt 9, Segment 495. Dokumentation gem. DAfStb-Richtlinie, DIN EN 206, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;74.42;Kabelbau
05.12.2152;Kabeltrasse NYY-J 3x50 herstellen;Kabeltrasse NYY-J 3x50 mit Warnband, Sandbettung ≥20 cm, Warnband. Streckenkilometer. Abschnitt 31, Segment 200. Dokumentation gem. DIN 1045‑2, DIN 4124, TL SoB‑StB, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;28.06;Kabelbau
01.02.2160;Kabeltrasse NYY-J 5x10 herstellen;Kabeltrasse NYY-J 5x10 mit Sandbettung, Sandbettung ≥25 cm, Warnband. Streckenkilometer. Abschnitt 32, Segment 494. Dokumentation gem. DAfStb-Richtlinie, DIN 4124, TL SoB‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;17.74;Kabelbau
09.05.2168;Kabeltrasse NYY-J 5x10 herstellen;Kabeltrasse NA2XS(F)2Y 1x240 mit Betonplatte, Sandbettung ≥25 cm, Warnband. Schachtbeschriftung. Abschnitt 40, Segment 125. Dokumentation gem. DIN EN 1610, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;59.66;Kabelbau
05.04.2176;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse NYY-J 3x50 mit Sandbettung, Sandbettung ≥10 cm, Warnband. Schachtbeschriftung. Abschnitt 18, Segment 59. Dokumentation gem. DAfStb-Richtlinie, DIN 1045‑2, DIN 1998, TL SoB‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;17.2;Kabelbau
01.10.2184;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse NYY-J 5x10 mit Doppelrohr DN125, Sandbettung ≥25 cm, Warnband. Schachtbeschriftung. Abschnitt 23, Segment 213. Dokumentation gem. DIN 1045‑2, TL SoB‑StB, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;87.3;Kabelbau
09.11.2192;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse NYY-J 5x10 mit Sandbettung, Sandbettung ≥25 cm, Warnband. Streckenkilometer. Abschnitt 35, Segment 374. Dokumentation gem. DIN 1045‑2, TL SoB‑StB, ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;22.5;Kabelbau
05.10.2200;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse NYY-J 3x50 mit Betonplatte, Sandbettung ≥15 cm, Warnband. Markerband. Abschnitt 25, Segment 107. Dokumentation gem. DAfStb-Richtlinie, DIN 1998, TL SoB‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;9.91;Kabelbau
01.09.2208;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse NYY-J 4x16 mit Betonplatte, Sandbettung ≥20 cm, Warnband. Markerband. Abschnitt 12, Segment 381. Dokumentation gem. DIN 1045‑2, DIN 18300, DIN EN 1610. Abrechnung nach m. Nachweis: Messprotokoll.;m;80.31;Kabelbau
09.06.2216;Kabeltrasse NYY-J 3x50 herstellen;Kabeltrasse H07RN-F 5G16 mit Doppelrohr DN125, Sandbettung ≥20 cm, Warnband. Markerband. Abschnitt 27, Segment 463. Dokumentation gem. DIN 4124, DIN EN 1610, TL SoB‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;86.72;Kabelbau
05.04.2224;Kabeltrasse H07RN-F 5G16 herstellen;Kabeltrasse N2XY 4x25 mit Kabelschutzrohr DN110, Sandbettung ≥10 cm, Warnband. Markerband. Abschnitt 7, Segment 403. Dokumentation gem. DAfStb-Richtlinie, DIN 4124. Abrechnung nach m. Nachweis: Messprotokoll.;m;41.6;Kabelbau
01.06.2232;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse NYY-J 5x10 mit Warnband, Sandbettung ≥20 cm, Warnband. Schachtbeschriftung. Abschnitt 17, Segment 370. Dokumentation gem. DIN 18300, DIN EN 1610, DIN EN 206, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;74.62;Kabelbau
09.01.2240;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse H07RN-F 5G16 mit Warnband, Sandbettung ≥15 cm, Warnband. Streckenkilometer. Abschnitt 30, Segment 260. Dokumentation gem. DAfStb-Richtlinie, DIN EN 1610, ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;25.51;Kabelbau
05.01.2248;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse NYY-J 5x10 mit Sandbettung, Sandbettung ≥25 cm, Warnband. Markerband. Abschnitt 15, Segment 341. Dokumentation gem. DIN 18300, TL SoB‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;87.59;Kabelbau
01.11.2256;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse NYY-J 3x50 mit Kabelschutzrohr DN110, Sandbettung ≥25 cm, Warnband. Markerband. Abschnitt 36, Segment 363. Dokumentation gem. DAfStb-Richtlinie, TL SoB‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;64.58;Kabelbau
09.12.2264;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse NYY-J 5x10 mit Betonplatte, Sandbettung ≥20 cm, Warnband. Markerband. Abschnitt 49, Segment 23. Dokumentation gem. DAfStb-Richtlinie, DIN 18300, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;44.95;Kabelbau
05.08.2272;Kabeltrasse H07RN-F 5G16 herstellen;Kabeltrasse H07RN-F 5G16 mit Warnband, Sandbettung ≥20 cm, Warnband. Schachtbeschriftung. Abschnitt 49, Segment 435. Dokumentation gem. DIN 1998, DIN EN 1610, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;67.5;Kabelbau
01.04.2280;Kabeltrasse NYY-J 3x50 herstellen;Kabeltrasse NYY-J 5x10 mit Doppelrohr DN125, Sandbettung ≥10 cm, Warnband. Markerband. Abschnitt 49, Segment 30. Dokumentation gem. DAfStb-Richtlinie, DIN EN 206, TL SoB‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;48.89;Kabelbau
09.12.2288;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse NYY-J 4x16 mit Kabelschutzrohr DN110, Sandbettung ≥25 cm, Warnband. Streckenkilometer. Abschnitt 15, Segment 161. Dokumentation gem. DIN 4124, DIN EN 206, TL SoB‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;53.02;Kabelbau
05.01.2296;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse NYY-J 3x50 mit Doppelrohr DN125, Sandbettung ≥10 cm, Warnband. Markerband. Abschnitt 9, Segment 179. Dokumentation gem. DAfStb-Richtlinie, DIN 1045‑2, DIN EN 1610, DIN EN 206. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;33.21;Kabelbau
